name,cv_r2_mean,cv_r2_std,cv_mae,r2,rmse,mae,median_abs_error,within_5k,within_10k,within_20k,within_10pct,within_20pct
Gradient Boosting (raw),0.8745579654039636,0.00926412515019061,8736.846636022849,0.8669126779050783,15836.660288232517,8517.156783936576,4620.676336058776,0.5211864406779662,0.7602905569007264,0.9073849878934624,0.4449152542372881,0.738498789346247
Random Forest tuned (raw),0.8723566183758669,0.011884447035921158,8178.1367609379495,0.8563596020296221,16452.56280683352,8048.784749692356,3884.672789682536,0.5914043583535109,0.7972154963680388,0.9152542372881356,0.5169491525423728,0.7808716707021792
Random Forest n=100 (raw),0.8694404038013517,0.01181969852325034,8276.071112037514,0.8548454159362093,16539.05286393751,8114.86632131107,3942.0730833333364,0.5865617433414043,0.7947941888619855,0.9152542372881356,0.5217917675544794,0.7802663438256658
Random Forest n=100 (log),0.8664229029299213,0.012061752019524495,8153.522641026728,0.861066149087053,16180.774082104612,8041.13817569176,3727.6929211678034,0.5889830508474576,0.7929782082324455,0.9152542372881356,0.5163438256658596,0.7826876513317191
Random Forest tuned (log),0.866305040461216,0.012755276580356224,8153.629777792254,0.8609595228700052,16186.98194225208,7899.931571194645,3575.4070366641536,0.6095641646489104,0.7929782082324455,0.9170702179176755,0.5205811138014528,0.7941888619854721
HistGradientBoosting (raw),0.8650192082161933,0.011271694556276178,8548.272597877065,0.857689272165216,16376.235587183372,8143.528692491028,4027.0259748481803,0.5847457627118644,0.7869249394673123,0.9110169491525424,0.5,0.7675544794188862
HistGradientBoosting (log),0.8509643672778793,0.010225903119664105,8597.415981847971,0.8522498502989854,16686.268297832517,8157.499014744111,3760.8679942831295,0.589588377723971,0.7875302663438256,0.9164648910411622,0.5127118644067796,0.7838983050847458
Gradient Boosting (log),0.8416347443388315,0.013391111610176303,9390.009666944828,0.8451746903734623,17081.115766917195,9029.416062789445,4426.202487127635,0.5363196125907991,0.7439467312348669,0.8958837772397095,0.45036319612590797,0.7294188861985472
Linear Regression (raw),0.7493355987077422,0.020811653886712893,14147.19789756528,0.7608737459969865,21227.99065537243,13234.003825155147,8853.756822426472,0.2923728813559322,0.5538740920096852,0.8311138014527845,0.26997578692493945,0.49455205811138014
Linear Regression (log),0.67379923656054,0.03417217962750258,13259.118766624893,0.7182904211493953,23040.72097925023,12764.14866130511,6952.459491999478,0.4001210653753027,0.6368038740920097,0.8444309927360775,0.29782082324455206,0.5708232445520581
